Season,Name,Team,O-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),EV,LA,wRC+,NameASCII,PlayerId,MLBAMID
2024,Dylan Carlson,- - -,0.2462406,0.47927928,0.54961832,0.7605985,86.78787060850155,15.80606060146545,66.51128083115081,Dylan Carlson,20126,666185
2022,Nick Senzel,CIN,0.29195089,0.47534247,0.6588785,0.86875,87.19717955508474,11.746789757680085,66.50688851022163,Nick Senzel,19293,669222
2022,Kole Calhoun,TEX,0.32751092,0.53058824,0.45,0.75415282,90.81308210784314,15.446081303615196,66.44251956883552,Kole Calhoun,11200,594777
2021,Kelvin Gutiérrez,- - -,0.27927928,0.44827586,0.48387097,0.79452055,89.94965194310898,2.2743623391175882,66.13732678195845,Kelvin Gutierrez,17468,642721
2024,Chas McCormick,HOU,0.32421875,0.52574257,0.54819277,0.76438356,86.18941267566568,15.17728654308432,66.07410821737018,Chas McCormick,19599,676801
2022,Jacob Stallings,MIA,0.25690608,0.43622795,0.54301075,0.89277899,86.72631836,12.936796246152936,66.05375548259684,Jacob Stallings,13723,607732
2022,Maikel Franco,WSN,0.38197425,0.53596615,0.59925094,0.82150101,87.01068280194256,11.454757792837668,65.93509103,Maikel Franco,12179,596748
2021,David Bote,CHC,0.26755853,0.47321429,0.50625,0.86288416,89.92303799715908,9.797021484,65.91043041263369,David Bote,14593,623520
2022,Kyle Isbel,KCR,0.29111531,0.45716946,0.61688312,0.89020772,89.70831163194444,10.592855042515538,65.55750785237541,Kyle Isbel,21614,664728
2021,Nick Ahmed,ARI,0.30955121,0.49803039,0.5464684,0.83603896,87.22135416666667,10.111248238006498,65.50846256784622,Nick Ahmed,12147,605113
2022,Victor Robles,WSN,0.31184408,0.52367491,0.49519231,0.83114447,84.56715745192308,15.816062278593117,65.46828217079593,Victor Robles,18363,645302
2023,Eduardo Escobar,- - -,0.36461538,0.50570033,0.6371308,0.79427083,86.27309241661659,14.41766122671274,65.37575266447469,Eduardo Escobar,6153,500871
2022,Myles Straw,CLE,0.20285714,0.40373198,0.7370892,0.93504736,86.99440597160357,9.758246406945991,65.36715869675572,Myles Straw,17620,664702
2022,Sheldon Neuse,OAK,0.32337434,0.50689655,0.48369565,0.85891089,89.11710394385027,1.4974146552264371,65.35789313973869,Sheldon Neuse,19635,641914
2023,Paul DeJong,- - -,0.35754986,0.53160112,0.42231076,0.7944664,85.53996958374506,16.824482069656312,65.33854438764061,Paul DeJong,18015,657557
2023,Ji Hwan Bae,PIT,0.2956636,0.46409574,0.61333333,0.85200846,88.06056371228448,1.1343620563375538,65.18107892,Ji Hwan Bae,23818,678225
2022,Taylor Walls,TBR,0.19666667,0.42637712,0.55367232,0.82324841,86.31163953234265,16.55063442416958,64.90014078821127,Taylor Walls,22458,670764
2023,Christian Vázquez,MIN,0.33233083,0.48489426,0.64705882,0.81235154,86.66519579475309,10.006846943839651,64.58523028049109,Christian Vazquez,9774,543877
2024,Thairo Estrada,SFG,0.36292835,0.51260504,0.58798283,0.92009132,86.19810948388502,10.534205966525608,64.16170461507015,Thairo Estrada,16426,642731
2024,Korey Lee,CHW,0.35229068,0.58642407,0.38565022,0.76910569,88.36335906374502,9.453821433017929,64.15236559150634,Korey Lee,25543,686676
2024,Michael Siani,STL,0.28998243,0.47437888,0.50909091,0.8161435,84.43982059439433,5.101394181399002,63.97872812,Michael Siani,22557,672279
2021,Garrett Hampson,COL,0.23488372,0.44228751,0.49009901,0.86427457,86.98618641561514,12.993510634365142,63.81086313404476,Garrett Hampson,19262,641658
2021,Jake Bauers,- - -,0.26631393,0.47463175,0.47682119,0.86247086,88.06090154695273,20.02935699918377,63.41417603263464,Jake Bauers,15194,641343
2022,Max Stassi,LAA,0.21260997,0.4408078,0.33103448,0.79713115,88.58380762160634,9.502976085265837,63.24308010414219,Max Stassi,10059,545358
2024,Adam Frazier,KCR,0.2628866,0.46903386,0.63398693,0.88915663,84.49832866915423,15.31786866449005,63.12793785890223,Adam Frazier,15223,624428
2022,Adam Engel,CHW,0.28628231,0.46928499,0.40972222,0.80745342,87.93978059505989,15.02694610778443,63.12193791649429,Adam Engel,15082,641553
2022,Aristides Aquino,CIN,0.36708861,0.5640553,0.42857143,0.75550122,85.64508294439935,17.39666551159274,63.00641469156943,Aristides Aquino,15482,606157
2022,Abraham Toro,SEA,0.30182927,0.47014925,0.62121212,0.88194444,87.01570668963879,16.70987553469582,62.89119715,Abraham Toro,19844,647351
2021,Jose Trevino,TEX,0.34920635,0.48243115,0.59090909,0.89156627,87.49584855248918,9.477041269277597,62.67138902214444,Jose Trevino,16725,624431
2022,Eddie Rosario,ATL,0.40402194,0.52871287,0.54751131,0.81789137,87.69661100618131,15.170859535971841,62.65826406267204,Eddie Rosario,12155,592696
2023,Javier Báez,DET,0.42567568,0.546476,0.51473923,0.81875994,88.03329951298701,9.341233766233767,62.592084044301764,Javier Baez,12979,595879
2022,Tucker Barnhart,DET,0.27622378,0.46081772,0.58860759,0.89295039,84.51455703509852,10.073842917757082,62.55150921505077,Tucker Barnhart,10200,571466
2023,Brandon Crawford,SFG,0.32063492,0.52159739,0.45544554,0.83333333,89.84789560355392,13.990553544207318,61.94919440910958,Brandon Crawford,5343,543063
2021,Maikel Franco,BAL,0.34139785,0.50136426,0.61417323,0.85862786,88.20127795527156,9.093524579422922,61.869535984156194,Maikel Franco,12179,596748
2024,Jack Suwinski,PIT,0.22700587,0.46409336,0.43965517,0.85286783,88.89996959206587,12.88410922296033,61.77223209764708,Jack Suwinski,22244,669261
2021,Martín Maldonado,HOU,0.23012048,0.42705422,0.45549738,0.81151832,87.97310450819673,17.582527535860656,61.41566671019781,Martin Maldonado,6887,455117
2022,Avisaíl García,MIA,0.40109141,0.58961229,0.36734694,0.81054688,88.66496818,2.770907002110635,61.30696548419725,Avisail Garcia,5760,541645
2021,Brock Holt,TEX,0.24457594,0.42382813,0.67741935,0.88064516,86.11065967580214,9.826196680731952,61.24485112850013,Brock Holt,9345,571788
2023,Gavin Sheets,CHW,0.30366492,0.47431386,0.68103448,0.87104072,88.11513240461848,16.88604417670683,61.12579376613504,Gavin Sheets,19901,657757
2023,Brice Turang,MIL,0.265625,0.47130919,0.68778281,0.8704,85.51483992034314,12.554258862225163,60.57603795047585,Brice Turang,22186,668930
2024,Christian Vázquez,MIN,0.33457944,0.51621385,0.65363128,0.88780488,88.46291588092673,16.103143100080818,60.35231468062638,Christian Vazquez,9774,543877
2024,Taylor Walls,TBR,0.212,0.44747082,0.52830189,0.84180791,86.15168200041118,18.212988602487666,60.309255595351544,Taylor Walls,22458,670764
2023,Tim Anderson,CHW,0.34820457,0.53450051,0.565625,0.85654596,87.80617334509408,2.034339822748656,60.21767321641666,Tim Anderson,15172,641313
2021,Jonah Heim,TEX,0.27580071,0.49956102,0.67741935,0.85507246,87.05613598983254,15.483572489907298,59.37962945,Jonah Heim,16930,641680
