PitcherId,PitchType,ReleaseSpeed,StrikePercentage
1,CH,86.13222051599999,0.5844155844155844
1,CU,77.17468749185184,0.6363636363636364
1,FC,91.64546310954546,0.45454545454545453
1,FF,94.82212600252875,0.4675324675324675
1,SL,87.0985588084375,0.5869565217391305
2,CH,90.73955689,0.6666666666666666
2,FF,99.01120274499999,1.0
2,SI,97.84346499,
2,SL,88.91475704000001,0.7272727272727273
3,FC,94.355634304,0.44
3,SI,93.73689308,0.3333333333333333
3,SL,84.484474586,0.6428571428571429
4,CH,85.57242009,0.3333333333333333
4,FC,88.9992335775,0.25
4,FF,92.7101505125,0.5
5,CU,82.60937712375,0.3333333333333333
5,FF,96.85564718,0.6666666666666666
5,SI,94.87394811999998,0.6
5,SL,89.99299013642857,0.3870967741935484
6,CH,89.07724637,0.5454545454545454
6,FF,98.85239728799999,0.5714285714285714
6,KC,88.45067801916667,0.4117647058823529
6,SI,97.83904746999998,0.0
7,CU,80.83286927384617,0.5789473684210527
7,FC,86.51669286399999,0.1111111111111111
7,FF,94.2401783804762,0.2692307692307692
7,SI,94.27091260299999,0.4864864864864865
7,SL,83.69375602000001,0.9090909090909091
8,FC,95.32519294,0.0
8,FF,98.38415284,
8,SI,98.42514845399998,0.0
8,SL,87.02068694,0.0
9,FF,96.24811649444445,0.47368421052631576
9,SL,86.77837509615382,0.4838709677419355
10,FF,95.50790821625,0.2
10,SL,86.71103706444444,0.4
11,CH,86.09913605999999,0.23076923076923078
11,CU,82.28391942633334,0.5245901639344263
11,FF,93.44350411173914,0.5161290322580645
11,SI,93.04976586545456,0.37142857142857144
11,SL,88.34725206636364,0.45
12,CH,90.75046982333333,0.5882352941176471
12,FF,99.83939173833335,0.4
12,SL,89.608784502,0.5714285714285714
13,FF,95.0261853088889,0.44
13,SL,86.59963296500001,0.5
14,FF,93.12177171333332,0.29411764705882354
14,SL,81.484988115,0.5
15,CH,88.375782104,0.36363636363636365
15,FF,97.29762453100001,0.5
15,SL,81.79894572,1.0
16,FC,89.25903742000001,0.25
16,SI,93.8225082575,0.5555555555555556
16,SL,82.364080605,0.46153846153846156
17,FF,94.68862856799998,0.375
17,SL,86.873748256,0.3333333333333333
